run_id,manifest_rank,project_id,sample_file,input_id,seed,build_tool,focal_class,focal_class_fqcn,source_valid,quality_status,coverage_error,mutation_error,started_at_utc,finished_at_utc,quality_artifact_dir,java_home,test_classes,instrumentation_adapter_replacements,saved_generation_classpath_entries_reused,runtime_classpath_entries,instruction_covered,instruction_missed,coverage_instruction,line_covered,line_missed,coverage_line,branch_covered,branch_missed,coverage_branch,method_covered,method_missed,coverage_method,mutations_total,mutations_killed,mutations_survived,mutations_no_coverage,mutations_timed_out,mutations_error,mutation_score,mutation_status_counts,coverage_complete,mutation_complete,repo_cache_removed,not_applicable_reason,cleanup_warning
evosuite-full-20260824T062816Z,3,2193717,2193717_2.json,2193717_2,42,maven,ConvertClassToReflectedType,com.lexicalscope.fluentreflection.ConvertClassToReflectedType,True,COMPLETE,,,2026-08-24T06:29:09.991012+00:00,2026-08-24T06:29:37.787205+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2193717_2\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,com.lexicalscope.fluentreflection.ConvertClassToReflectedType_ESTest,2,13,19,11,0,100.0,4,0,100.0,0,0,,2,0,100.0,1,1,0,0,0,0,100.0,"{""KILLED"": 1}",True,True,True,,
evosuite-clean-200-part-2,8,18133301,18133301_5.json,18133301_5,42,maven,Platform,io.graceland.Platform,True,COMPLETE,,,2026-08-24T06:33:16.114865+00:00,2026-08-24T06:33:58.370616+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\18133301_5\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,io.graceland.Platform_ESTest,2,63,69,120,189,38.83,25,41,37.88,9,13,40.91,5,2,71.43,24,0,0,13,0,11,0.0,"{""NO_COVERAGE"": 13, ""RUN_ERROR"": 11}",True,True,True,,
evosuite-clean-200-part-2,13,122514469,122514469_23.json,122514469_23,42,maven,BooleanParser,io.github.leberkleber.ljcm.parser.impl.BooleanParser,True,COMPLETE,,,2026-08-24T06:30:58.981584+00:00,2026-08-24T06:31:13.984828+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\122514469_23\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,io.github.leberkleber.ljcm.parser.impl.BooleanParser_ESTest,2,0,7,51,0,100.0,9,0,100.0,2,0,100.0,3,0,100.0,4,4,0,0,0,0,100.0,"{""KILLED"": 4}",True,True,True,,
evosuite-clean-200-part-2,18,2846293,2846293_16.json,2846293_16,42,maven,WebElementGenerator,com.lazerycode.ebselen.codegenerators.WebElementGenerator,True,COMPLETE,,,2026-08-24T06:33:06.341487+00:00,2026-08-24T06:33:31.656269+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2846293_16\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,com.lazerycode.ebselen.codegenerators.WebElementGenerator_ESTest,2,0,7,199,0,100.0,21,0,100.0,0,0,,14,0,100.0,12,12,0,0,0,0,100.0,"{""KILLED"": 12}",True,True,True,,
evosuite-clean-200-part-2,23,17835696,17835696_0.json,17835696_0,42,maven,JettyConfiguration,io.yawp.driver.postgresql.configuration.JettyConfiguration,True,COMPLETE,,,2026-08-24T06:36:37.607740+00:00,2026-08-24T06:36:58.221995+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\17835696_0\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,io.yawp.driver.postgresql.configuration.JettyConfiguration_ESTest,2,0,7,19,105,15.32,6,21,22.22,0,2,0.0,4,7,36.36,12,1,1,10,0,0,8.33,"{""KILLED"": 1, ""NO_COVERAGE"": 10, ""SURVIVED"": 1}",True,True,True,,
evosuite-clean-200-part-2,28,2329961,2329961_18.json,2329961_18,42,maven,ServiceData,org.cloudname.service.ServiceData,True,COMPLETE,,,2026-08-24T06:37:45.253827+00:00,2026-08-24T06:38:12.516426+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2329961_18\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,org.cloudname.service.ServiceData_ESTest,2,0,9,160,77,67.51,35,13,72.92,18,4,81.82,6,1,85.71,19,12,2,5,0,0,63.16,"{""KILLED"": 12, ""NO_COVERAGE"": 5, ""SURVIVED"": 2}",True,True,True,,
evosuite-clean-200-part-2,33,29397553,29397553_11.json,29397553_11,42,maven,AveragePrecision,es.uam.eps.ir.ranksys.metrics.basic.AveragePrecision,True,COMPLETE,,,2026-08-24T06:39:49.471890+00:00,2026-08-24T06:40:05.744127+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\29397553_11\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,es.uam.eps.ir.ranksys.metrics.basic.AveragePrecision_ESTest,2,0,7,0,69,0.0,0,20,0.0,0,8,0.0,0,2,0.0,9,0,0,9,0,0,0.0,"{""NO_COVERAGE"": 9}",True,True,True,,
evosuite-clean-200-part-2,38,107437722,107437722_123.json,107437722_123,42,,,,False,NOT_APPLICABLE_INVALID,,,2026-08-24T06:38:31.818741+00:00,2026-08-24T06:38:31.818741+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,EvoSuite status=TOOL_ERROR,repo cleanup: PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\107437722\\SNAPSHOT_FIX.md'
evosuite-clean-200-part-2,43,15951171,15951171_0.json,15951171_0,42,maven,HzUnitOfWorkJournal,org.myeslib.hazelcast.storage.HzUnitOfWorkJournal,True,COMPLETE,,,2026-08-24T06:41:00.417631+00:00,2026-08-24T06:41:20.107242+00:00,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\15951171_0\s42\t3,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,org.myeslib.hazelcast.storage.HzUnitOfWorkJournal_ESTest,2,0,11,0,92,0.0,0,21,0.0,0,6,0.0,0,4,0.0,6,0,0,6,0,0,0.0,"{""NO_COVERAGE"": 6}",True,True,True,,
evosuite-clean-200-part-2,48,125645968,125645968_29.json,125645968_29,42,,,,False,NOT_APPLICABLE_INVALID,,,2026-08-24T06:44:05.286031+00:00,2026-08-24T06:44:05.286031+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,EvoSuite status=GENERATION_FAILED,
