Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,forApplication,59,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,initialize,84,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,initialize,89,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,initialize,94,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,initialize,85,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,initialize,90,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,initialize,95,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,registerFilterSpec,152,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,registerFilterSpec,153,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,registerFilterSpec,154,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,113,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,118,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,123,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,128,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,133,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,run,138,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,111,RUN_ERROR,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,114,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,119,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,124,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,129,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,134,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,run,139,NO_COVERAGE,none
Platform.java,io.graceland.Platform,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,start,73,NO_COVERAGE,none
