run_id,manifest_rank,project_id,sample_file,input_id,seed,source_valid,smell_status,smell_complete,smell_error,started_at_utc,finished_at_utc,smell_instances,smell_free,smell_java_home,smell_artifact_dir,smell_raw_csv,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Handling,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,repo_cache_removed,not_applicable_reason,cleanup_warning
evosuite-full-20260824T062816Z,3,2193717,2193717_2.json,2193717_2,42,True,COMPLETE,True,,2026-08-24T06:29:38.435140+00:00,2026-08-24T06:29:38.839725+00:00,2,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2193717_2\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2193717_2\s42\ts\Output_TestSmellDetection_1787552978586.csv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True,,
evosuite-clean-200-part-2,8,18133301,18133301_5.json,18133301_5,42,True,COMPLETE,True,,2026-08-24T06:33:58.410616+00:00,2026-08-24T06:33:58.829010+00:00,10,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\18133301_5\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\18133301_5\s42\ts\Output_TestSmellDetection_1787553238553.csv,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,True,,
evosuite-clean-200-part-2,13,122514469,122514469_23.json,122514469_23,42,True,COMPLETE,True,,2026-08-24T06:31:14.007826+00:00,2026-08-24T06:31:14.453948+00:00,11,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\122514469_23\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\122514469_23\s42\ts\Output_TestSmellDetection_1787553074161.csv,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,True,,
evosuite-clean-200-part-2,18,2846293,2846293_16.json,2846293_16,42,True,COMPLETE,True,,2026-08-24T06:33:31.829522+00:00,2026-08-24T06:33:32.388739+00:00,42,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2846293_16\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2846293_16\s42\ts\Output_TestSmellDetection_1787553212001.csv,0,0,0,0,0,16,0,0,0,0,0,0,0,4,6,0,0,0,0,16,0,True,,
evosuite-clean-200-part-2,23,17835696,17835696_0.json,17835696_0,42,True,COMPLETE,True,,2026-08-24T06:36:58.417479+00:00,2026-08-24T06:36:58.775882+00:00,4,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\17835696_0\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\17835696_0\s42\ts\Output_TestSmellDetection_1787553418548.csv,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,True,,
evosuite-clean-200-part-2,28,2329961,2329961_18.json,2329961_18,42,True,COMPLETE,True,,2026-08-24T06:38:12.572425+00:00,2026-08-24T06:38:13.019236+00:00,44,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2329961_18\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\2329961_18\s42\ts\Output_TestSmellDetection_1787553492716.csv,2,0,0,0,0,12,0,0,0,0,0,0,0,4,14,0,0,0,0,12,0,True,,
evosuite-clean-200-part-2,33,29397553,29397553_11.json,29397553_11,42,True,COMPLETE,True,,2026-08-24T06:40:05.824001+00:00,2026-08-24T06:40:06.295376+00:00,6,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\29397553_11\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\29397553_11\s42\ts\Output_TestSmellDetection_1787553605969.csv,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,True,,
evosuite-clean-200-part-2,38,107437722,107437722_123.json,107437722_123,42,False,NOT_APPLICABLE_INVALID,False,,2026-08-24T06:38:31.818741+00:00,2026-08-24T06:38:31.818741+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,False,EvoSuite status=TOOL_ERROR,repo cleanup: PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\107437722\\SNAPSHOT_FIX.md'
evosuite-clean-200-part-2,43,15951171,15951171_0.json,15951171_0,42,True,COMPLETE,True,,2026-08-24T06:41:20.149241+00:00,2026-08-24T06:41:20.519519+00:00,3,False,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-11,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\15951171_0\s42\ts,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\e\p2\s\15951171_0\s42\ts\Output_TestSmellDetection_1787553680297.csv,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,True,,
evosuite-clean-200-part-2,48,125645968,125645968_29.json,125645968_29,42,False,NOT_APPLICABLE_INVALID,False,,2026-08-24T06:44:05.286031+00:00,2026-08-24T06:44:05.286031+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,True,EvoSuite status=GENERATION_FAILED,
