candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,source_layout,class_kind,is_abstract,class_loc,focal_method_name,focal_method_loc,focal_method_modifiers,has_control_flow,has_observable_output,constructor_dependency_count,external_dependency_risk,external_risk_reasons,testability_score,semantic_status,semantic_exclusion_reason,build_tool,module_path,testing_framework,detected_java_version,selected_java_home,java_selection_reason,checkout_revision,clone_attempts,baseline_passes_required,baseline_passes_completed,baseline_states,classpath_resolved,classpath_exit_code,focal_class_fqcn,focal_bytecode_found,probe_target_state,probe_module_state,offline_baseline_state,eligibility_status,exclusion_stage,exclusion_reason,elapsed_seconds,artifact_dir
3,992012,992012_1.json,https://github.com/Qi4j/qi4j-extensions,CapitalizingIdentifierConverter,entitystore-qrm/src/main/java/org/qi4j/entitystore/qrm/internal/CapitalizingIdentifierConverter.java,production,class,False,55,convertIdentifier,9,public,True,True,0,False,,9,ELIGIBLE,,gradle,entitystore-qrm,junit4,unknown,,no project java version detected,,1,2,1,TOOL_ERROR,,,org.qi4j.entitystore.qrm.internal.CapitalizingIdentifierConverter,,,,,EXCLUDED,baseline,[WinError 2] The system cannot find the file specified,6.984,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00003_992012_992012_1
8,145032308,145032308_3.json,https://github.com/rsocket/rsocket-rpc-java,StringUtil,rsocket-rpc-core/src/main/java/io/rsocket/rpc/util/StringUtil.java,production,class,False,14,hasLetters,10,public static,True,True,0,False,,9,ELIGIBLE,,gradle,rsocket-rpc-core,junit4,8,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,auto-discovered JDK 8,,1,2,1,ASSERTION_FAILED,,,io.rsocket.rpc.util.StringUtil,,,,,EXCLUDED,baseline,failure: build failed with an exception.,121.609,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00008_145032308_145032308_3
13,10085184,10085184_0.json,https://github.com/forge/furnace,MavenRepositories,manager/resolver/maven/src/main/java/org/jboss/forge/furnace/manager/maven/util/MavenRepositories.java,production,,,,getRemoteRepositories,9,public static,False,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,"Error: [('D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\10085184\\container-tests\\src\\test\\resources\\repository\\org\\jboss\\forge\\furnace\\furnace-api\\9999.9.9.Final\\furnace-api-9999.9.9.Final-sources.jar', 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\runs\\sample_selection\\distributed\\shard-2\\candidates\\00013_10085184_10085184_0\\workspace\\container-tests\\src\\test\\resources\\repository\\org\\jboss\\forge\\furnace\\furnace-api\\9999.9.9.Final\\furnace-api-9999.9.9.Final-sources.jar', ""[Errno 2] No such file or directory: 'D:\\\\ki9\\\\SEP490\\\\ArrowCode\\\\ARROW-paper\\\\ARROW\\\\runs\\\\sample_selection\\\\distributed\\\\shard-2\\\\candidates\\\\00013_10085184_10085184_0\\\\workspace\\\\container-tests\\\\src\\\\test\\\\resources\\\\repository\\\\org\\\\jboss\\\\forge\\\\furnace\\\\furnace-api\\\\9999.9.9.Final\\\\furnace-api-9999.9.9.Final-sources.jar'""), ('D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\10085184\\container-tests\\src\\test\\resources\\repository\\org\\jboss\\forge\\furnace\\furnace-api\\9999.9.9.Final\\furnace-api-9999.9.9.Final-sources.jar.md5', 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\runs\\sample_selection\\distributed\\shard-2\\candidates\\00013_10085184_10085184_0\\workspace\\container-tests\\src\\test\\resources\\repository\\org\\jboss\\forge\\furnace\\furnace-api\\9999.9.9.Final\\furnace-api-9999.9.9.Final-sources.jar.md5', ""[Errno 2] No such file or directory: 'D:\\\\ki9\\\\SEP490\\\\ArrowCode\\\\ARROW-paper\\\\ARROW\\\\runs\\\\sample_selection\\\\distributed\\\\shard-2\\\\candidates\\\\00013_10085184_10085184_0\\\\workspace\\\\container-tests\\\\src\\\\test\\\\resources\\\\repository\\\\org\\\\jboss\\\\forge\\\\furnace\\\\furnace-api\\\\9999.9.9.Final\\\\furnace-api-9999.9.9.Final-sources.jar.md5'""), ('D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\10085184\\container-tests\\src\\test\\resources\\repository\\org\\jboss\\forge\\furnace\\furnace-api\\9999.9.9.Final\\furnace-api-9999.9.9.",8.593,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00013_10085184_10085184_0
18,128274093,128274093_618.json,https://github.com/artem-zinnatullin/error-prone-performance,Functions,rxjava/src/main/java/io/reactivex/internal/functions/Functions.java,production,,,,toFunction,4,public static,True,True,,,,,ELIGIBLE,,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,setup,"Error: [('D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\128274093\\assets\\jdk8\\profile-jdk8-docker\\assemble_error_prone_disable_expensive_checks\\assemble_error_prone_disable_expensive_checks-4.6.jps', 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\runs\\sample_selection\\distributed\\shard-2\\candidates\\00018_128274093_128274093_618\\workspace\\assets\\jdk8\\profile-jdk8-docker\\assemble_error_prone_disable_expensive_checks\\assemble_error_prone_disable_expensive_checks-4.6.jps', ""[Errno 2] No such file or directory: 'D:\\\\ki9\\\\SEP490\\\\ArrowCode\\\\ARROW-paper\\\\ARROW\\\\runs\\\\sample_selection\\\\distributed\\\\shard-2\\\\candidates\\\\00018_128274093_128274093_618\\\\workspace\\\\assets\\\\jdk8\\\\profile-jdk8-docker\\\\assemble_error_prone_disable_expensive_checks\\\\assemble_error_prone_disable_expensive_checks-4.6.jps'""), ('D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\128274093\\assets\\jdk9\\profile-jdk9-docker\\assemble_error_prone_disable_expensive_checks\\assemble_error_prone_disable_expensive_checks-4.6.jps', 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\runs\\sample_selection\\distributed\\shard-2\\candidates\\00018_128274093_128274093_618\\workspace\\assets\\jdk9\\profile-jdk9-docker\\assemble_error_prone_disable_expensive_checks\\assemble_error_prone_disable_expensive_checks-4.6.jps', ""[Errno 2] No such file or directory: 'D:\\\\ki9\\\\SEP490\\\\ArrowCode\\\\ARROW-paper\\\\ARROW\\\\runs\\\\sample_selection\\\\distributed\\\\shard-2\\\\candidates\\\\00018_128274093_128274093_618\\\\workspace\\\\assets\\\\jdk9\\\\profile-jdk9-docker\\\\assemble_error_prone_disable_expensive_checks\\\\assemble_error_prone_disable_expensive_checks-4.6.jps'"")]",22.843,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00018_128274093_128274093_618
23,30333472,30333472_21.json,https://github.com/aruberto/business-time,BusinessDateTime,business-time-joda/src/main/java/com/github/aruberto/businesstime/joda/BusinessDateTime.java,production,class,False,763,minusMinutes,7,public,True,True,0,False,,9,ELIGIBLE,,gradle,business-time-joda,junit4,6,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,auto-discovered compatible JDK 8 for Java 6,,1,2,1,TOOL_ERROR,,,com.github.aruberto.businesstime.joda.BusinessDateTime,,,,,EXCLUDED,baseline,[WinError 2] The system cannot find the file specified,2.953,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00023_30333472_30333472_21
28,67473511,67473511_37.json,https://github.com/strapdata/elasticsearch-hadoop,InitializationUtils,mr/src/main/java/org/elasticsearch/hadoop/rest/InitializationUtils.java,production,,,,validateSettings,31,public static,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.032,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00028_67473511_67473511_37
33,173952800,173952800_30.json,https://github.com/eth-sri/soltix,BytesValue,soltix/src/main/java/soltix/interpretation/values/BytesValue.java,production,class,False,291,bitwiseOr,9,public,True,True,2,False,,9,ELIGIBLE,,maven,soltix,junit4,8,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\Java-version\java-8,auto-discovered JDK 8,,1,2,2,MODULE_TESTS_PASSED|MODULE_TESTS_PASSED,True,0,soltix.interpretation.values.BytesValue,True,TARGET_TEST_PASSED,MODULE_TESTS_PASSED,MODULE_TESTS_PASSED,ELIGIBLE,,,136.672,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00033_173952800_173952800_30
38,21432552,21432552_13.json,https://github.com/google/openrtb,OpenRtbUtils,openrtb-core/src/main/java/com/google/openrtb/util/OpenRtbUtils.java,production,,,,bids,3,public static,False,True,,,,,ELIGIBLE,,,,,,,,,,2,0,,,,,,,,,EXCLUDED,setup,"RuntimeError: Repository setup failed after 3 attempts: CalledProcessError: Command '['git', '-c', 'core.longpaths=true', 'clone', '--depth', '1', 'https://github.com/google/openrtb', 'D:\\ki9\\SEP490\\ArrowCode\\ARROW-paper\\ARROW\\repos\\21432552']' returned non-zero exit status 128.",10.593,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00038_21432552_21432552_13
43,74458764,74458764_173.json,https://github.com/AmadeusITGroup/HttpSessionReplacer,InitializeSessionManagement,session-replacement/src/main/java/com/amadeus/session/servlet/InitializeSessionManagement.java,production,,,,onStartup,11,@Override public,True,False,,,,,EXCLUDED,no_observable_behavior,,,,,,,,,2,0,,,,,,,,,EXCLUDED,semantic_metadata,no_observable_behavior,0.016,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00043_74458764_74458764_173
48,133938603,133938603_4.json,https://github.com/Ahmed-Adel-Ismail/Open-Weather-Maps,CoordinatesConverter,app/src/main/java/com/reactive/owm/domain/database/CoordinatesConverter.java,production,class,False,14,fromCoordinates,4,@TypeConverter public,False,True,0,False,,6,EXCLUDED,testability_score_below_7,,,,,,,,1,2,0,,,,,,,,,EXCLUDED,semantic,testability_score_below_7,7.469,D:\ki9\SEP490\ArrowCode\ARROW-paper\ARROW\runs\sample_selection\distributed\shard-2\candidates\00048_133938603_133938603_4
