candidate_rank,project_id,sample_file,sample_sha256,sample_bytes
1,105081364,105081364_6.json,f9c4f9dcabe96655c8175dc5a51a755711446b31655bd8ad7b18d5180457ab70,10719
2,60701247,60701247_744.json,9da3d16bff80ea75103609f651c3cdaf33dfc314bb2fb0cdfcca06c370431d7e,38216
3,992012,992012_1.json,e91ca4d48f93a1bc10295f2fc6150f8d2d725b723bc88061528e1642c493aafb,4540
4,38882107,38882107_3.json,ebe6ef31e5f83b7a7b8a800b0db2d639475b7fef3a4afbc65790a50ef8f27d09,8219
5,38443009,38443009_4.json,a97c8e71b852ca3e69278734ee861c17b234f96cec1429a29d21cff8f9ff4bbd,4643
6,766240,766240_13.json,740dea0825bb0cfaa7d3d87661014896db2ebbf9b0b354ccbf0b38fae6a53b53,3809
7,48369985,48369985_247.json,1d146997497f42e1fe3700e5418d696ba7bab24932c2853c53c45303ff7797bc,3022
8,145032308,145032308_3.json,ea873f02cd2a44ff9ac61dfbfba09b40fd41cb85af8d301877f379fb9bcc8761,2355
9,60982325,60982325_0.json,23c3ef972707c59a33ab820bc990f43977898e6d9c2fe4dd5134a965c8b739a2,7554
10,1028034,1028034_3.json,aa83e0472b03ffa3aa5bd99fa26adee17114761e25d006ecb279275c16675a80,9389
11,61372044,61372044_181.json,3edb009dc57c504883164807bd2089f2ded7836b08ec8b0df0f32430d3c960ee,73485
12,132938098,132938098_44.json,7c0fe94d46c5bb0bcfad44a25fac09e11c1a2d98d8ffa7ea07f5128a7d22b2a9,50130
13,10085184,10085184_0.json,8a68799bec18524e1074ae488bd7028268abc2be0dd2f07ed05fbbd9db545520,5231
14,44512524,44512524_229.json,91c92717ef4762a0c5682a0406a00d0b38d520f55366fab5aadefa85852fb9e3,8628
15,55246521,55246521_89.json,836244420c9a2193d5189a2472dd8602a445c279110c855b69bdac662121da47,14510
16,76667858,76667858_0.json,8a171d83fbfda5cf13243a3a0dc7d3bdce6bc4fa1460e56c202f5add269e79ab,5475
17,1342891,1342891_1.json,ef15acbf5f1928032f2218b44d4b36301e73cf6639c5c033159f3b8555bc70d6,12712
18,128274093,128274093_618.json,09d2a2ff81cecd7100e2414c5daf1f346455bf9a5660338a82be92356ff9fe3a,21207
19,69595482,69595482_76.json,bceeeb8c849242d10737ce34f6bf6952c864806bf0723769f61db47db94c825f,11803
20,218912806,218912806_6.json,660f93d68cea1a1c0ef96564b18a771e192aeeb5257768a29c3478f659cc52f8,4739
21,23686634,23686634_7.json,452b0dcc5d2e962ce0361456dcf6b66f023a5a3c252373ed63929d03dc2b6338,2748
22,52231932,52231932_0.json,d2a5353f37d7e058a6160eb1aa0df48224ff8fb64200a98bf29e5215bf46fc9f,4885
23,30333472,30333472_21.json,5f8f642ffd53f5c41d20b8832c6901f991ad7c056fa1cc545612d3b926f81716,24267
24,1361792,1361792_2.json,3df51d2a414c2ce0a418a3eea77acc4575657b442284e69b41a6b11db2281d49,8364
25,60586822,60586822_0.json,7236daa59bacd59bd56454962fccfb1e84ea0b68c05ac830fb9971faa0cd6c11,8610
26,24855056,24855056_82.json,fea8061ab8c8829f0c8c834601ebf8814e55ea4df24aea2b7358dee8f60f2f67,15012
27,2698192,2698192_5.json,639c4e6fa93f7f1a790c8ce4271a951178172cb320e6a6637337d5fb4ade8ce5,4014
28,67473511,67473511_37.json,2e864baccc625108dbe560d3681a6b2bdc3b830df0d83fdb22acf4e373fb06c5,13709
29,38484146,38484146_30.json,1b1fea7144b4c24bdab0a1744e9dcf0d33cee1ec30a6b8c2b6b1afd57bf25388,10936
30,116932005,116932005_14.json,74fa68e2145747ec5064e6097653a59b1a7f3853fa160bc58c10005cfa4e1c73,9178
31,66020851,66020851_16.json,83de1b9a1368391e2248b5f5b5eeb7eb514af712f9324d73b73c043d28bccd75,6599
32,45471150,45471150_0.json,0cca6eaec6fbd0364ec9b67cefb01b0221b7ea46ed128c948691fab5aef2f433,9388
33,173952800,173952800_30.json,137c6db6781cc2937c521f6f0411c16a19c3d452d228c0a3bcabfc95c5f711d3,10841
34,47773974,47773974_1.json,e5f40aa7df9b8a819c471b00451e3342de370981aec947a52be041c455913e3d,6308
35,4695543,4695543_8.json,b1055184e336f61355b5163cbeef40c61b7581c6f708a04e12a033743a49c84e,2713
36,55986996,55986996_1.json,ef881b1a107373ed46b94e80ee8ab018b6e90f5d9f0519f67554f640776b2037,4521
37,2708082,2708082_47.json,927e9aff83e05e91d7465d9539ffb552fe1f05064e41f0f228f62d5c8668c64a,23390
38,21432552,21432552_13.json,13761695b330fbd54755ec649d15d6e87f9157fc68055124ea16dd11203ca700,15191
39,18023059,18023059_19.json,cd1fd212ec31a57dd7d3cd2e7f1550950c5a67729c1f1b1b5608c1809057d9b4,22809
40,1827687,1827687_0.json,be808c3f4a190e568dc0bb514aa985d4f00ef49adea61bda518e5bdc7a3af803,5974
41,5126482,5126482_11.json,221c56ce57a02bea3723afea34a01de412e89e61caf448711b0664ddfd457805,18440
