rank,candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,class_kind,focal_method_name,testability_score,build_tool,java_version
1,31,66020851,66020851_16.json,https://github.com/palantir/tritium,Instrumentation,tritium-lib/src/main/java/com/palantir/tritium/proxy/Instrumentation.java,class,builder,7,gradle,unknown
2,33,173952800,173952800_30.json,https://github.com/eth-sri/soltix,BytesValue,soltix/src/main/java/soltix/interpretation/values/BytesValue.java,class,bitwiseOr,9,maven,8
3,46,2193717,2193717_2.json,https://github.com/lexicalscope/fluent-reflection,ConvertClassToReflectedType,fluent-reflection/src/main/java/com/lexicalscope/fluentreflection/ConvertClassToReflectedType.java,class,convert,9,maven,6
4,58,50105719,50105719_25.json,https://github.com/kawasima/enkan,MethodOverrideMiddleware,enkan-web/src/main/java/enkan/middleware/MethodOverrideMiddleware.java,class,handle,9,maven,21
5,63,34411308,34411308_1.json,https://github.com/fharms/java-examples,MarshallingService,jboss-marshalling-example/src/main/java/com/fharms/marshalling/service/MarshallingService.java,class,deserialize,9,maven,8
6,71,7695110,7695110_11.json,https://github.com/dCache/oncrpc4j,RpcMessageParserTCP,oncrpc4j-core/src/main/java/org/dcache/oncrpc4j/rpc/RpcMessageParserTCP.java,class,handleRead,9,maven,21
7,79,5279091,5279091_4.json,https://github.com/square/dagger,Keys,core/src/main/java/dagger/internal/Keys.java,class,getClassName,10,maven,6
8,83,18133301,18133301_5.json,https://github.com/graceland/graceland-core,Platform,graceland-platform/src/main/java/io/graceland/Platform.java,class,forApplication,7,maven,7
9,86,28344352,28344352_0.json,https://github.com/kaaproject/avro-ui,SchemaFormAvroConverter,converter/src/main/java/org/kaaproject/avro/ui/converter/SchemaFormAvroConverter.java,class,createSchemaFormFromSchema,9,maven,7
10,116,112121863,112121863_17.json,https://github.com/hpple/reflection-assert,ReflectionAssertions,reflection-assert/src/main/java/com/github/reflectionassert/ReflectionAssertions.java,class,assertReflectiveThat,7,gradle,8
11,123,9754885,9754885_1.json,https://github.com/openmrs/openmrs-module-patientmatching,ScorePair,api/src/main/java/org/regenstrief/linkage/util/ScorePair.java,class,getCandidatesFromMultiFieldDemographics,10,maven,8
12,126,2610204,2610204_8.json,https://github.com/jDTOBinder/jDTO-Binder,ValueConversionHelper,jdto/src/main/java/org/jdto/impl/ValueConversionHelper.java,class,applyCompatibilityLogic,9,maven,6
13,133,122514469,122514469_23.json,https://github.com/leberKleber/ljcm,BooleanParser,ljcm-minimal-parser/src/main/java/io/github/leberkleber/ljcm/parser/impl/BooleanParser.java,class,parseValue,9,maven,8
14,139,16641539,16641539_17.json,https://github.com/mtamme/signalr-client,URIBuilder,api/src/main/java/net/signalr/client/util/URIBuilder.java,class,addParameters,9,maven,7
15,147,158126654,158126654_12.json,https://github.com/peholmst/DDDExample,VAT,shared-kernel/src/main/java/net/pkhapps/ddd/shared/domain/financial/VAT.java,class,addTax,7,maven,11
16,152,78372835,78372835_1.json,https://github.com/donovanmuller/camel-spring-cloud-stream,CamelConfigurableBindingServiceProperties,camel-spring-cloud-stream/src/main/java/io/switchbit/CamelConfigurableBindingServiceProperties.java,class,setCamelConfiguration,7,maven,8
17,159,154520,154520_549.json,https://github.com/caelum/vraptor,LongConverter,vraptor-core/src/main/java/br/com/caelum/vraptor/converter/LongConverter.java,class,convert,9,maven,5
18,171,2846293,2846293_16.json,https://github.com/Ardesco/Ebselen,WebElementGenerator,ebselen-ide-convertor/src/main/java/com/lazerycode/ebselen/codegenerators/WebElementGenerator.java,class,submit,8,maven,6
19,173,84320045,84320045_0.json,https://github.com/CodeFX-org/java-9-wtf,GraphicsBounds,graphics-bounds/src/main/java/wtf/java9/graphics_bounds/GraphicsBounds.java,class,createBounds,7,maven,8
20,177,28665076,28665076_0.json,https://github.com/cdvcz/datex2,Datex2Subscription,datex2-api/src/main/java/cz/cdv/datex2/Datex2Subscription.java,class,newBuilder,7,maven,7
21,184,9165045,9165045_20.json,https://github.com/AKSW/RDFUnit,ShapePathReader,rdfunit-model/src/main/java/org/aksw/rdfunit/model/readers/shacl/ShapePathReader.java,class,read,7,maven,8
22,186,86607520,86607520_21.json,https://github.com/docbleach/DocBleach,OOXMLBleach,module/module-office/src/main/java/xyz/docbleach/module/ooxml/OOXMLBleach.java,class,isForbiddenType,9,maven,8
23,189,17835696,17835696_0.json,https://github.com/feroult/yawp,JettyConfiguration,yawp-postgresql/src/main/java/io/yawp/driver/postgresql/configuration/JettyConfiguration.java,class,load,8,maven,8
24,196,4242485,4242485_101.json,https://github.com/arouel/uadetector,DataBuilder,modules/uadetector-core/src/main/java/net/sf/uadetector/internal/data/DataBuilder.java,class,appendDeviceBuilder,9,maven,8
25,206,782257,782257_112.json,https://github.com/jawi/ols,BackgroundTaskExecutionService,service.taskexecution/src/main/java/nl/lxtreme/ols/task/execution/BackgroundTaskExecutionService.java,class,execute,9,maven,8
26,229,11919447,11919447_1.json,https://github.com/porscheinformatik/cucumber-report-db,MimeTypeToExtensionsUtil,cucumber-formatter/src/main/java/at/porscheinformatik/cucumber/formatter/MimeTypeToExtensionsUtil.java,class,getExtension,10,maven,7
27,234,225191103,225191103_0.json,https://github.com/prpatel/quarkus-workshop,GreetingResource,exercise3/src/main/java/org/example/exercise3/GreetingResource.java,class,getOne,9,maven,8
28,239,2329961,2329961_18.json,https://github.com/Cloudname/cloudname,ServiceData,cn-service/src/main/java/org/cloudname/service/ServiceData.java,class,addEndpoint,9,maven,8
29,249,2851858,2851858_6.json,https://github.com/jwcarman/Wicketopia,WicketopiaPropertyFacet,wicketopia/src/main/java/org/wicketopia/metadata/WicketopiaPropertyFacet.java,class,get,9,maven,6
30,254,35888585,35888585_1.json,https://github.com/gocd-contrib/gocd-oauth-login,GoogleProvider,google/src/main/java/com/tw/go/plugin/provider/google/GoogleProvider.java,class,authorize,9,gradle,7
31,281,110329589,110329589_2.json,https://github.com/wuhulala/netty-action,ExtensionLoader,chapter7-rpc/rpc-container/src/main/java/com/alibaba/cooma/ExtensionLoader.java,class,getExtensionLoader,8,maven,8
32,283,70767609,70767609_3.json,https://github.com/code-not-found/spring-ws,TicketAgentClient,spring-ws-soapaction-header/src/main/java/com/codenotfound/ws/client/TicketAgentClient.java,class,listFlights,8,maven,8
33,288,29397553,29397553_11.json,https://github.com/RankSys/RankSys,AveragePrecision,RankSys-metrics/src/main/java/es/uam/eps/ir/ranksys/metrics/basic/AveragePrecision.java,class,evaluate,9,maven,8
34,298,19668829,19668829_1.json,https://github.com/capnproto/capnproto-java,ArrayInputStream,runtime/src/main/java/org/capnproto/ArrayInputStream.java,class,read,9,maven,8
35,308,75065038,75065038_2.json,https://github.com/storezhang/utils,CollectionUtils,util/src/main/java/com/ruijc/util/CollectionUtils.java,class,get,9,maven,8
36,316,5643380,5643380_41.json,https://github.com/douglasjunior/DouglasJuniorTCC,VersionUtil,JGitMinerWeb/src/main/java/br/edu/utfpr/cm/minerador/services/util/VersionUtil.java,class,getMaxVersionSequence,10,maven,8
37,336,84008299,84008299_19.json,https://github.com/thiagoprocaci/springboot-react-jwt,JwtService,back-end/src/main/java/com/tbp/av/security/jwt/JwtService.java,class,isValid,10,maven,8
