rank,candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,class_kind,focal_method_name,testability_score,build_tool,java_version
1,31,66020851,66020851_16.json,https://github.com/palantir/tritium,Instrumentation,tritium-lib/src/main/java/com/palantir/tritium/proxy/Instrumentation.java,class,builder,7,gradle,unknown
3,46,2193717,2193717_2.json,https://github.com/lexicalscope/fluent-reflection,ConvertClassToReflectedType,fluent-reflection/src/main/java/com/lexicalscope/fluentreflection/ConvertClassToReflectedType.java,class,convert,9,maven,6
6,71,7695110,7695110_11.json,https://github.com/dCache/oncrpc4j,RpcMessageParserTCP,oncrpc4j-core/src/main/java/org/dcache/oncrpc4j/rpc/RpcMessageParserTCP.java,class,handleRead,9,maven,21
9,86,28344352,28344352_0.json,https://github.com/kaaproject/avro-ui,SchemaFormAvroConverter,converter/src/main/java/org/kaaproject/avro/ui/converter/SchemaFormAvroConverter.java,class,createSchemaFormFromSchema,9,maven,7
10,116,112121863,112121863_17.json,https://github.com/hpple/reflection-assert,ReflectionAssertions,reflection-assert/src/main/java/com/github/reflectionassert/ReflectionAssertions.java,class,assertReflectiveThat,7,gradle,8
12,126,2610204,2610204_8.json,https://github.com/jDTOBinder/jDTO-Binder,ValueConversionHelper,jdto/src/main/java/org/jdto/impl/ValueConversionHelper.java,class,applyCompatibilityLogic,9,maven,6
18,171,2846293,2846293_16.json,https://github.com/Ardesco/Ebselen,WebElementGenerator,ebselen-ide-convertor/src/main/java/com/lazerycode/ebselen/codegenerators/WebElementGenerator.java,class,submit,8,maven,6
22,186,86607520,86607520_21.json,https://github.com/docbleach/DocBleach,OOXMLBleach,module/module-office/src/main/java/xyz/docbleach/module/ooxml/OOXMLBleach.java,class,isForbiddenType,9,maven,8
24,196,4242485,4242485_101.json,https://github.com/arouel/uadetector,DataBuilder,modules/uadetector-core/src/main/java/net/sf/uadetector/internal/data/DataBuilder.java,class,appendDeviceBuilder,9,maven,8
25,206,782257,782257_112.json,https://github.com/jawi/ols,BackgroundTaskExecutionService,service.taskexecution/src/main/java/nl/lxtreme/ols/task/execution/BackgroundTaskExecutionService.java,class,execute,9,maven,8
31,281,110329589,110329589_2.json,https://github.com/wuhulala/netty-action,ExtensionLoader,chapter7-rpc/rpc-container/src/main/java/com/alibaba/cooma/ExtensionLoader.java,class,getExtensionLoader,8,maven,8
36,316,5643380,5643380_41.json,https://github.com/douglasjunior/DouglasJuniorTCC,VersionUtil,JGitMinerWeb/src/main/java/br/edu/utfpr/cm/minerador/services/util/VersionUtil.java,class,getMaxVersionSequence,10,maven,8
37,336,84008299,84008299_19.json,https://github.com/thiagoprocaci/springboot-react-jwt,JwtService,back-end/src/main/java/com/tbp/av/security/jwt/JwtService.java,class,isValid,10,maven,8
48,486,125645968,125645968_29.json,https://github.com/sharplab/spring-security-webauthn,WebAuthnSecurityExpression,webauthn4j-spring-security-core/src/main/java/com/webauthn4j/springframework/security/WebAuthnSecurityExpression.java,class,isWebAuthnAuthenticated,9,gradle,17
51,516,36288389,36288389_1180.json,https://github.com/ifnul/ums-backend,SalaryTypeQueryBuilder,is-lnu-persistence/src/main/java/org/lnu/is/dao/builder/salary/type/SalaryTypeQueryBuilder.java,class,build,7,maven,8
53,541,88632627,88632627_96.json,https://github.com/headwirecom/peregrine-cms,XMLBuilder,platform/base/core/src/main/java/com/peregrine/sitemap/XMLBuilder.java,class,addElement,10,maven,11
54,546,229095535,229095535_4.json,https://github.com/andifalk/cloud-native-microservices-security,LibraryUserDetailsService,lab6/library-server-container-rootless/src/main/java/com/example/libraryserver/security/LibraryUserDetailsService.java,class,loadUserByUsername,8,gradle,11
55,636,33903657,33903657_18.json,https://github.com/davidehringer/xml-matchers,XmlConverters,xml-matchers/src/main/java/org/xmlmatchers/transform/XmlConverters.java,class,the,7,maven,5
57,646,3687614,3687614_40.json,https://github.com/bsblabs/embed-for-vaadin,EmbedVaadin,com.bsb.common.vaadin.embed/src/main/java/com/bsb/common/vaadin/embed/support/EmbedVaadin.java,class,forComponent,7,maven,5
66,751,2045140,2045140_12.json,https://github.com/eclipse/jetty.toolchain,RequireRedhatCompatibleVersionRule,jetty-build-support/src/main/java/org/eclipse/jetty/toolchain/enforcer/rules/RequireRedhatCompatibleVersionRule.java,class,ensureValidRedhatVersion,10,maven,8
71,781,93389699,93389699_5.json,https://github.com/ZacSweers/inspector,CompositeValidator,inspector/src/main/java/io/sweers/inspector/CompositeValidator.java,class,validate,7,gradle,7
73,786,9797598,9797598_0.json,https://github.com/Unicon/cas-mfa,DefaultRegisteredServiceMfaRoleProcessorImpl,cas-mfa-java/src/main/java/net/unicon/cas/mfa/authentication/DefaultRegisteredServiceMfaRoleProcessorImpl.java,class,resolve,9,maven,7
74,796,132609722,132609722_9.json,https://github.com/Yubico/java-webauthn-server,FinishRegistrationOptions,webauthn-server-core/src/main/java/com/yubico/webauthn/FinishRegistrationOptions.java,class,builder,8,gradle,17
77,821,70147050,70147050_0.json,https://github.com/REMEXLabs/OpenAPE,Property,openAPE/API/src/main/java/org/openape/api/databaseObjectBase/Property.java,class,equals,9,maven,unknown
80,846,97573661,97573661_10.json,https://github.com/apache/servicecomb-pack,CompositeOmegaCallback,alpha/alpha-core/src/main/java/org/apache/servicecomb/pack/alpha/core/CompositeOmegaCallback.java,class,compensate,9,maven,8
81,851,211330796,211330796_54.json,https://github.com/Trisia/ofdrw,StandFormatAtomicSignID,ofdrw-sign/src/main/java/org/ofdrw/sign/StandFormatAtomicSignID.java,class,incrementAndGet,8,maven,8
85,896,58734918,58734918_48.json,https://github.com/graylog-labs/graylog-plugin-metrics-reporter,GelfTransportsConverter,metrics-reporter-gelf/src/main/java/org/graylog/plugins/metrics/gelf/converters/GelfTransportsConverter.java,class,convertFrom,10,maven,8
88,921,2685841,2685841_1326.json,https://github.com/phenotips/phenotips,SolrPatientIndexer,components/patient-data/indexing/src/main/java/org/phenotips/data/indexing/internal/SolrPatientIndexer.java,class,reindex,10,maven,8
95,1001,16775240,16775240_19.json,https://github.com/fusesource/hawtjms,JmsMapMessage,hawtjms-core/src/main/java/io/hawtjms/jms/message/JmsMapMessage.java,class,getMapNames,7,maven,6
101,1076,187124580,187124580_9.json,https://github.com/oktadeveloper/java-microservices-examples,AudienceValidator,jhipster/store/src/main/java/com/okta/developer/store/security/oauth2/AudienceValidator.java,class,validate,9,maven,8
103,1096,157564875,157564875_10.json,https://github.com/mediatoolkit/pareco,DirectoryStructureReader,pareco-core/src/main/java/com/mediatoolkit/pareco/components/DirectoryStructureReader.java,class,readDirectoryStructure,10,maven,8
106,1111,116678593,116678593_0.json,https://github.com/Netcentric/system-env-install-hook,VariablesMerger,apply-system-env-install-hook/src/main/java/biz/netcentric/aem/applysystemenvinstallhook/VariablesMerger.java,class,applyEnvVars,9,maven,8
112,1156,47613863,47613863_164.json,https://github.com/quicktheories/QuickTheories,FilteredGenerator,core/src/main/java/org/quicktheories/core/Gen.java,class,generate,9,maven,8
113,1186,13379760,13379760_1.json,https://github.com/Multibit-Legacy/multibit-hd,BackupSummaryDescendingComparator,mbhd-core/src/main/java/org/multibit/hd/core/dto/comparators/BackupSummaryDescendingComparator.java,class,compare,9,maven,7
116,1216,90643804,90643804_3.json,https://github.com/songxinjianqwe/JavaWebSkeleton,UserController,skeleton/src/main/java/cn/sinjinsong/skeleton/controller/user/UserController.java,class,activate,9,maven,8
120,1311,1772396,1772396_0.json,https://github.com/revelytix/spark,DateTime,spark-spi/src/main/java/spark/spi/util/DateTime.java,class,parse,8,maven,6
124,1401,31923485,31923485_10.json,https://github.com/kgrodzicki/cloud-computing-specialization,MergeReducer,capstone/workspace/task1/task1-group3-2-hadoop/src/main/java/MergeReducer.java,class,localDate,8,maven,7
125,1406,19481229,19481229_3.json,https://github.com/boundary/fasttuple,TupleExpressionGenerator,fasttuple-core/src/main/java/com/boundary/tuple/codegen/TupleExpressionGenerator.java,class,builder,7,maven,7
131,1516,41548314,41548314_0.json,https://github.com/adejanovski/cassandra-dcaware-failover,DCAwareFailoverRoundRobinPolicy,DCAwareFailoverRoundRobinPolicy/src/main/java/org/adejanovski/cassandra/policies/DCAwareFailoverRoundRobinPolicy.java,class,distance,8,maven,6
134,1591,102596286,102596286_101.json,https://github.com/ocopea/orcs,HashCodeUtil,util/common-util/src/main/java/com/emc/ocopea/util/HashCodeUtil.java,class,hash,10,maven,8
136,1606,127471055,127471055_122.json,https://github.com/printezisn/spring-boot-microservices-starter,MovieController,MovieService/src/main/java/com/printezisn/moviestore/movieservice/movie/controllers/MovieController.java,class,deleteMovie,9,gradle,11
139,1621,136324618,136324618_10.json,https://github.com/sagap/sonar-solidity,SolidityParsingPhase,solidity-frontend/src/main/java/org/sonarsource/solidity/frontend/SolidityParsingPhase.java,class,parse,8,maven,${jdk.min.version}
142,1691,6867673,6867673_122.json,https://github.com/jadler-mocking/jadler,JadlerMocker,jadler-core/src/main/java/net/jadler/JadlerMocker.java,class,numberOfRequestsMatching,9,maven,11
