rank,candidate_rank,project_id,sample_file,repository_url,focal_class,focal_class_path,class_kind,focal_method_name,testability_score,build_tool,java_version
1,2507,5796756,5796756_9.json,https://github.com/joliciel-informatique/talismane,SentenceDetector,talismane_core/src/main/java/com/joliciel/talismane/sentenceDetector/SentenceDetector.java,class,detectSentences,9,maven,11
2,2529,117965972,117965972_7.json,https://github.com/alibaba/DataX,HttpUtils,tsdbwriter/src/main/java/com/alibaba/datax/plugin/writer/util/HttpUtils.java,class,get,10,maven,${jdk-version}
3,2546,74649126,74649126_9.json,https://github.com/cecid/hermes,HermesProtocolApiListener,corvus-api/src/main/java/hk/hku/cecid/hermes/api/listener/HermesProtocolApiListener.java,class,parseFromPathInfo,8,maven,8
4,2551,25889832,25889832_4.json,https://github.com/GoogleCloudPlatform/appengine-java-vm-runtime,JsonFormatter,appengine-java-logging/src/main/java/com/google/apphosting/logging/JsonFormatter.java,class,formatMessage,9,maven,8
5,2557,98801926,98801926_11.json,https://github.com/thombergs/code-examples,Controller,spring-boot/hazelcast/hazelcast-embedded-cache/src/main/java/io/refectoring/cache/embedded/rest/Controller.java,class,get,8,gradle,8
6,2564,23358011,23358011_17.json,https://github.com/phax/ph-schematron,SchematronHelper,ph-schematron/src/main/java/com/helger/schematron/SchematronHelper.java,class,applySchematron,9,maven,8
7,2576,91583905,91583905_232.json,https://github.com/alfasoftware/morf,SchemaHomology,morf-core/src/main/java/org/alfasoftware/morf/metadata/SchemaHomology.java,class,schemasMatch,9,maven,11
8,2606,70948568,70948568_102.json,https://github.com/redfin/fuzzy,FuzzyUtil,fuzzy-core/src/main/java/com/redfin/fuzzy/FuzzyUtil.java,class,inspect,7,maven,8
9,2631,198355705,198355705_28.json,https://github.com/iamazy/elasticsearch-sql,ElasticSql2DslParser,elasticsearch-sql-core/src/main/java/io/github/iamazy/elasticsearch/dsl/sql/ElasticSql2DslParser.java,class,parse,10,maven,8
10,2647,172695826,172695826_2.json,https://github.com/xwings-technologies/ripple-lib-java,EDKeyPair,ripple-core/src/main/java/com/ripple/crypto/ecdsa/EDKeyPair.java,class,verifySignature,10,maven,6
11,2649,16201889,16201889_6.json,https://github.com/gbif/name-parser,NameFormatter,name-parser-api/src/main/java/org/gbif/nameparser/util/NameFormatter.java,class,buildName,8,maven,17
12,2679,23260390,23260390_105.json,https://github.com/virgo47/javasimon,ClassUtils,core/src/main/java/org/javasimon/utils/bean/ClassUtils.java,class,getGetter,9,maven,8
13,2696,2046220,2046220_18.json,https://github.com/apache/empire-db,OptionEntry,empire-db/src/main/java/org/apache/empire/commons/OptionEntry.java,class,getValueString,10,maven,8
14,2701,28138459,28138459_10.json,https://github.com/seedstack/business,MergeSingleAggregateFromRepositoryImpl,core/src/main/java/org/seedstack/business/internal/assembler/dsl/MergeSingleAggregateFromRepositoryImpl.java,class,fromFactory,8,maven,unknown
15,2711,42751387,42751387_108.json,https://github.com/treasure-data/digdag,ConfigEvalEngine,digdag-core/src/main/java/io/digdag/core/agent/ConfigEvalEngine.java,class,eval,7,gradle,8
16,2713,46789213,46789213_50.json,https://github.com/aicis/fresco,CoinTossing,tools/ot/src/main/java/dk/alexandra/fresco/tools/cointossing/CoinTossing.java,class,toss,10,maven,8
17,2722,56890246,56890246_2.json,https://github.com/lightstep/lightstep-tracer-java,TracerParameters,lightstep-tracer-jre-bundle/src/main/java/com/lightstep/tracer/jre/TracerParameters.java,class,getParameters,10,maven,8
18,2727,107386062,107386062_18.json,https://github.com/ctripcorp/caravan,PatternCorrector,caravan-common/src/main/java/com/ctrip/soa/caravan/common/value/corrector/PatternCorrector.java,class,correct,10,maven,7
19,2736,61520679,61520679_5.json,https://github.com/PrisonTeam/Prison,Bounds,prison-core/src/main/java/tech/mcprison/prison/util/Bounds.java,class,within,7,gradle,8
20,2739,14865444,14865444_5.json,https://github.com/vertigo-io/vertigo,StringUtil,vertigo-core/src/main/java/io/vertigo/core/util/StringUtil.java,class,replace,8,maven,unknown
21,2743,92312271,92312271_17.json,https://github.com/larsgrefer/java-sense-hat,SenseHatColor,sense-hat/src/main/java/de/larsgrefer/sense_hat/SenseHatColor.java,class,mix,9,gradle,8
22,2752,253251724,253251724_14.json,https://github.com/actumn/keycafe,DeleteCommand,server/src/main/java/io/keycafe/server/command/handler/DeleteCommand.java,class,run,9,gradle,8
23,2762,14518795,14518795_0.json,https://github.com/canhnt/sne-xacml,FirstApplicableAlg,sne-xacml/src/main/java/nl/uva/sne/midd/algorithms/FirstApplicableAlg.java,class,combine,9,maven,7
24,2764,34706545,34706545_5.json,https://github.com/coniks-sys/coniks-java,Convert,util/src/main/java/org/coniks/util/Convert.java,class,longToBytes,10,maven,8
25,2796,72728706,72728706_16.json,https://github.com/jklingsporn/vertx-jooq,JDBCCompletableFutureGenericQueryExecutor,vertx-jooq-completablefuture-jdbc/src/main/java/io/github/jklingsporn/vertx/jooq/completablefuture/jdbc/JDBCCompletableFutureGenericQueryExecutor.java,class,executeBlocking,7,maven,8
26,2798,108452902,108452902_0.json,https://github.com/kbastani/event-sourcing-microservices-example,UserController,recommendation-service/src/main/java/io/example/domain/user/UserController.java,class,recommendFriends,8,maven,11
27,2801,1644710,1644710_0.json,https://github.com/talios/restbuilder,RestBuilder,restbuilder-parser/src/main/java/com/theoryinpractise/restbuilder/parser/RestBuilder.java,class,buildModel,10,maven,6
28,2802,50579018,50579018_34.json,https://github.com/hazelcast/hazelcast-hibernate-3-and-4,ExpiryMarker,hazelcast-hibernate3/src/main/java/com/hazelcast/hibernate/serialization/ExpiryMarker.java,class,isReplaceableBy,9,maven,6
29,2811,100470026,100470026_0.json,https://github.com/javaee/tutorial-examples,StandaloneBean,ejb/standalone/src/main/java/javaeetutorial/standalone/ejb/StandaloneBean.java,class,returnMessage,7,maven,8
30,2819,2693213,2693213_4.json,https://github.com/magja/magja,SoapCallFactory,connector/src/main/java/net/magja/soap/SoapCallFactory.java,class,createCall,9,maven,8
31,2834,174104865,174104865_2.json,https://github.com/xkcoding/scaffold,TreeUtil,scaffold-common/src/main/java/com/xkcoding/scaffold/common/utils/TreeUtil.java,class,merge,10,maven,8
